==54044== NVPROF is profiling process 54044, command: D:\software\anaconda3\envs\efficientvit\python.exe -B phase3\scripts\benchmark_plugin_engine.py --weights phase1\weights\efficientvit_seg_b0_cityscapes.pt --input phase1\data\city_asset_cityscapes_like.png --plugin-engine phase3\results\engines\efficientv
==54044== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==54044== Profiling application: D:\software\anaconda3\envs\efficientvit\python.exe -B phase3\scripts\benchmark_plugin_engine.py --weights phase1\weights\efficientvit_seg_b0_cityscapes.pt --input phase1\data\city_asset_cityscapes_like.png --plugin-engine phase3\results\engines\efficientv
==54044== Profiling result:
==54044== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"shared_efficiency","Shared Memory Efficiency",41.722063%,41.722063%,41.722063%
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"gld_efficiency","Global Memory Load Efficiency",87.634714%,87.634714%,87.634714%
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"shared_load_transactions","Shared Load Transactions",3244032,3244032,3244032
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"shared_store_transactions","Shared Store Transactions",106368,106368,106368
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"gld_transactions","Global Load Transactions",2435330,2435330,2435330
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"gst_transactions","Global Store Transactions",393216,393216,393216
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
