==58568== NVPROF is profiling process 58568, command: D:\software\anaconda3\envs\efficientvit\python.exe -B phase3\scripts\benchmark_plugin_engine.py --weights phase1\weights\efficientvit_seg_b0_cityscapes.pt --input phase1\data\city_asset_cityscapes_like.png --plugin-engine phase3\results\engines\efficientv
==58568== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==58568== Profiling application: D:\software\anaconda3\envs\efficientvit\python.exe -B phase3\scripts\benchmark_plugin_engine.py --weights phase1\weights\efficientvit_seg_b0_cityscapes.pt --input phase1\data\city_asset_cityscapes_like.png --plugin-engine phase3\results\engines\efficientv
==58568== Profiling result:
==58568== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"gld_transactions","Global Load Transactions",2423810,2423810,2423810
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"gst_transactions","Global Store Transactions",393216,393216,393216
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"shared_load_transactions","Shared Load Transactions",3244032,3244032,3244032
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"shared_store_transactions","Shared Store Transactions",105600,105600,105600
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"shared_efficiency","Shared Memory Efficiency",41.708701%,41.708701%,41.708701%
"NVIDIA GeForce MX250 (0)","_GLOBAL__N__588b81e2_43_aggregation_relu_linear_attention_kernel_cu_8efb7909::fusedAggregationCatKernel(float const *, float const *, float const *, float*, int, int)",8,"global_hit_rate","Global Hit Rate in unified l1/tex",0.000000%,0.000000%,0.000000%
